edu,geo,time,value
TOTAL,DE14,2020,2.9
ED0-2,DE2,2018,4.9
ED0-2,DE2,2019,4.5
ED0-2,DE2,2020,6.6
ED3-4,DE2,2018,1.8
ED3-4,DE2,2019,1.8
ED3-4,DE2,2020,2.0
ED5-8,DE2,2018,1.6
ED5-8,DE2,2019,1.4
ED5-8,DE2,2020,2.1
TOTAL,DE2,2018,2.2
TOTAL,DE2,2019,2.1
TOTAL,DE2,2020,2.7
ED0-2,DE21,2018,5.8
ED0-2,DE21,2019,4.3
ED3-4,DE21,2018,1.8
ED3-4,DE21,2019,1.7
ED3-4,DE21,2020,2.0
ED5-8,DE21,2018,1.9
ED5-8,DE21,2019,1.5
ED5-8,DE21,2020,2.7
TOTAL,DE21,2018,2.3
TOTAL,DE21,2019,1.9
TOTAL,DE21,2020,2.7
ED3-4,DE22,2018,1.7
ED3-4,DE22,2019,1.7
TOTAL,DE22,2018,2.0
TOTAL,DE22,2019,2.0
ED3-4,DE23,2018,1.7
ED3-4,DE23,2019,2.2
TOTAL,DE23,2018,1.9
TOTAL,DE23,2019,2.2
ED3-4,DE24,2018,2.5
ED3-4,DE24,2019,2.1
TOTAL,DE24,2018,2.3
TOTAL,DE24,2019,2.3
ED0-2,DE25,2019,4.8
ED3-4,DE25,2018,1.6
ED3-4,DE25,2019,1.7
TOTAL,DE25,2018,1.8
TOTAL,DE25,2019,2.1
TOTAL,DE25,2020,3.8
ED3-4,DE26,2018,1.6
ED3-4,DE26,2019,1.9
TOTAL,DE26,2018,2.0
TOTAL,DE26,2019,2.0
ED0-2,DE27,2018,5.4
ED0-2,DE27,2019,4.5
ED3-4,DE27,2018,2.0
ED3-4,DE27,2019,2.0
TOTAL,DE27,2018,2.4
TOTAL,DE27,2019,2.2
TOTAL,DE27,2020,2.5
ED0-2,DE3,2018,18.7
ED0-2,DE3,2019,15.6
ED0-2,DE3,2020,19.0
ED3-4,DE3,2018,5.6
ED3-4,DE3,2019,5.1
ED3-4,DE3,2020,5.5
ED5-8,DE3,2018,3.1
ED5-8,DE3,2019,3.0
ED5-8,DE3,2020,3.4
TOTAL,DE3,2018,6.1
TOTAL,DE3,2019,5.3
TOTAL,DE3,2020,6.1
ED0-2,DE30,2018,18.7
ED0-2,DE30,2019,15.6
ED0-2,DE30,2020,19.0
ED3-4,DE30,2018,5.6
ED3-4,DE30,2019,5.1
ED3-4,DE30,2020,5.5
ED5-8,DE30,2018,3.1
ED5-8,DE30,2019,3.0
ED5-8,DE30,2020,3.4
TOTAL,DE30,2018,6.1
TOTAL,DE30,2019,5.3
TOTAL,DE30,2020,6.1
ED0-2,DE4,2018,14.7
ED0-2,DE4,2019,10.7
ED3-4,DE4,2018,3.9
ED3-4,DE4,2019,3.2
ED3-4,DE4,2020,4.1
ED5-8,DE4,2018,1.5
ED5-8,DE4,2019,1.7
TOTAL,DE4,2018,4.1
TOTAL,DE4,2019,3.4
TOTAL,DE4,2020,3.9
ED0-2,DE40,2018,14.7
ED0-2,DE40,2019,10.7
ED3-4,DE40,2018,3.9
ED3-4,DE40,2019,3.2
ED3-4,DE40,2020,4.1
ED5-8,DE40,2018,1.5
ED5-8,DE40,2019,1.7
TOTAL,DE40,2018,4.1
